Station_ID,Stratum,Feature_Set,Task,max_features,min_samples_leaf,OOB_Score,Selected
SW93.4L,DURING,stage_only,regression,sqrt,5,0.9967890826735692,False
SW93.4L,DURING,stage_only,regression,0.33,1,0.99823593741168,True
SW93.4L,DURING,stage_only,regression,0.33,5,0.9979263049145677,False
SW93.4L,DURING,stage_only,classification,sqrt,1,0.9843276036400405,True
SW93.4L,DURING,stage_only,classification,sqrt,5,0.9817997977755308,False
SW93.4L,DURING,stage_only,classification,0.33,1,0.9833164812942367,False
SW93.4L,DURING,stage_only,classification,0.33,5,0.9843276036400405,False
SW93.4L,DURING,hydromet,regression,sqrt,1,0.997576127511588,False
SW93.4L,DURING,hydromet,regression,sqrt,5,0.9967057781225958,False
SW93.4L,DURING,hydromet,regression,0.33,1,0.9982319028785628,True
SW93.4L,DURING,hydromet,regression,0.33,5,0.9980572231164951,False
SW93.4L,DURING,hydromet,classification,sqrt,1,0.9823053589484327,False
SW93.4L,DURING,hydromet,classification,sqrt,5,0.9812942366026289,False
SW93.4L,DURING,hydromet,classification,0.33,1,0.9817997977755308,False
SW93.4L,DURING,hydromet,classification,0.33,5,0.9833164812942367,True
SW93.4L,DURING,full_multivariate,regression,sqrt,1,0.9975241242943762,False
SW93.4L,DURING,full_multivariate,regression,sqrt,5,0.9967073519449184,False
SW93.4L,DURING,full_multivariate,regression,0.33,1,0.998281790895299,True
SW93.4L,DURING,full_multivariate,regression,0.33,5,0.9979977363379311,False
SW93.4L,DURING,full_multivariate,classification,sqrt,1,0.9833164812942367,True
SW93.4L,DURING,full_multivariate,classification,sqrt,5,0.980788675429727,False
SW93.4L,DURING,full_multivariate,classification,0.33,1,0.980788675429727,False
SW93.4L,DURING,full_multivariate,classification,0.33,5,0.9828109201213346,False
SW93.4L,DURING,forecast_safe,regression,sqrt,1,0.996884701518256,False
SW93.4L,DURING,forecast_safe,regression,sqrt,5,0.9957630803391025,False
SW93.4L,DURING,forecast_safe,regression,0.33,1,0.9978310584915568,True
