Station_ID,Id,Stratum,Feature_Set,N_Features,N_Train,N_Classes,N_Test,Accuracy,Macro_F1,Weighted_F1,Cohen_Kappa,Accuracy_Persistence,Kappa_Persistence,Kappa_Skill_Score,Precision_Normal,Recall_Normal,F1_Normal,Support_Normal,Precision_Warning,Recall_Warning,F1_Warning,Support_Warning,Precision_Danger,Recall_Danger,F1_Danger,Support_Danger,Precision_Severe,Recall_Severe,F1_Severe,Support_Severe,OOB_Accuracy,HP_max_features,HP_min_samples_leaf
SW91.9R,10,AFTER,full_multivariate,177,1028,4,257,0.933852140077821,0.6565018930304485,0.9289921052320345,0.8619240250300234,0.953307392996109,0.9038353601496726,-0.4358289615068576,0.9717514124293786,0.9942196531791907,0.9828571428571429,173,0.9259259259259259,0.8333333333333334,0.8771929824561403,60,0.6923076923076923,0.8571428571428571,0.7659574468085106,21.0,0.0,0.0,0.0,3.0,0.9815175097276264,0.33,5
SW91.9R,10,AFTER,forecast_safe,151,1028,4,257,0.8715953307392996,0.4339604792936725,0.8337966003816616,0.7182579230615906,0.953307392996109,0.9038353601496726,-1.9297887183575835,0.9505494505494505,1.0,0.9746478873239437,173,0.6891891891891891,0.85,0.7611940298507462,60,0.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.9766536964980544,sqrt,1
SW91.9R,10,ALL,stage_only,79,3856,4,964,0.9730290456431535,0.703516727433311,0.9710316283562583,0.9346346933719307,0.9688796680497925,0.9250011669942895,0.12844901702547482,0.9887482419127989,0.9929378531073446,0.9908386187455955,708,0.9447236180904522,0.9447236180904522,0.9447236180904522,199,0.8703703703703703,0.8867924528301887,0.8785046728971962,53.0,0.0,0.0,0.0,4.0,0.9789937759336099,0.33,1
SW91.9R,10,ALL,hydromet,173,3856,4,964,0.9533195020746889,0.6419959192735164,0.9488361799414615,0.8854520393128178,0.9688796680497925,0.9250011669942895,-0.5273299076328339,0.9845938375350141,0.9929378531073446,0.9887482419127989,708,0.8577981651376146,0.9396984924623115,0.8968824940047961,199,0.90625,0.5471698113207547,0.6823529411764706,53.0,0.0,0.0,0.0,4.0,0.9787344398340249,0.33,1
SW91.9R,10,ALL,full_multivariate,177,3856,4,964,0.9553941908713693,0.6457363449358523,0.9511862018875591,0.8907740832184914,0.9688796680497925,0.9250011669942895,-0.45636821806536615,0.9859747545582047,0.9929378531073446,0.9894440534834623,708,0.8663594470046083,0.9447236180904522,0.9038461538461539,199,0.8823529411764706,0.5660377358490566,0.6896551724137931,53.0,0.0,0.0,0.0,4.0,0.9789937759336099,0.33,1
SW91.9R,10,ALL,forecast_safe,151,3856,4,964,0.9564315352697096,0.6597213420784419,0.9532901930129016,0.8934582390400505,0.9688796680497925,0.9250011669942895,-0.4205789168991101,0.9831932773109243,0.9915254237288136,0.9873417721518988,708,0.8851674641148325,0.9296482412060302,0.9068627450980392,199,0.8536585365853658,0.660377358490566,0.7446808510638298,53.0,0.0,0.0,0.0,4.0,0.9745850622406639,0.33,1
SW91.9L,11,BEFORE,stage_only,87,850,4,212,0.9198113207547169,0.6032456729692549,0.9095966126229234,0.8201686542587695,0.9528301886792453,0.8966962284377741,-0.7408013572177036,0.961038961038961,1.0,0.9801324503311258,148,1.0,0.8367346938775511,0.9111111111111111,49,0.35294117647058826,1.0,0.5217391304347826,6.0,0.0,0.0,0.0,9.0,0.9929411764705882,0.33,1
SW91.9L,11,BEFORE,hydromet,189,850,4,212,0.9245283018867925,0.6070511894576607,0.9146355294933045,0.8315789473684211,0.9528301886792453,0.8966962284377741,-0.630347567030784,0.9673202614379085,1.0,0.9833887043189369,148,1.0,0.8571428571428571,0.9230769230769231,49,0.35294117647058826,1.0,0.5217391304347826,6.0,0.0,0.0,0.0,9.0,0.9929411764705882,0.33,1
SW91.9L,11,BEFORE,full_multivariate,193,850,4,212,0.9245283018867925,0.6070511894576607,0.9146355294933045,0.8315789473684211,0.9528301886792453,0.8966962284377741,-0.630347567030784,0.9673202614379085,1.0,0.9833887043189369,148,1.0,0.8571428571428571,0.9230769230769231,49,0.35294117647058826,1.0,0.5217391304347826,6.0,0.0,0.0,0.0,9.0,0.9929411764705882,0.33,1
SW91.9L,11,BEFORE,forecast_safe,165,850,4,212,0.8962264150943396,0.6173101829367006,0.8827501443272517,0.7828576749383118,0.9528301886792453,0.8966962284377741,-1.101978676847153,1.0,0.918918918918919,0.9577464788732394,148,0.7313432835820896,1.0,0.8448275862068966,49,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0,0.0,0.0,0.0,9.0,0.98,sqrt,1
SW91.9L,11,DURING,stage_only,87,1978,4,495,0.9858585858585859,0.944501393971775,0.9859179809130598,0.9586431615005431,0.9818181818181818,0.9457316181844759,0.23792018269418258,1.0,0.9899244332493703,0.9949367088607595,397,0.9428571428571428,0.9850746268656716,0.9635036496350365,67,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.9047619047619048,1.0,0.95,19.0,0.9823053589484327,0.33,5
SW91.9L,11,DURING,hydromet,189,1978,4,495,0.9838383838383838,0.9297534165181225,0.9836510080003842,0.9523282130302885,0.9818181818181818,0.9457316181844759,0.12155503121940359,0.9974683544303797,0.9924433249370277,0.9949494949494949,397,0.9420289855072463,0.9701492537313433,0.9558823529411765,67,0.9,0.75,0.8181818181818182,12.0,0.9047619047619048,1.0,0.95,19.0,0.9833164812942367,0.33,1
SW91.9L,11,DURING,full_multivariate,193,1978,4,495,0.9797979797979798,0.9130014844548014,0.9799229493780137,0.9411841589334727,0.9818181818181818,0.9457316181844759,-0.08379574070333425,1.0,0.9874055415617129,0.9936628643852978,397,0.9285714285714286,0.9701492537313433,0.948905109489051,67,0.8181818181818182,0.75,0.782608695652174,12.0,0.8636363636363636,1.0,0.926829268292683,19.0,0.9833164812942367,0.33,5
SW91.9L,11,DURING,forecast_safe,165,1978,4,495,0.9656565656565657,0.7900914319358294,0.9663637079325571,0.8984554120912273,0.9818181818181818,0.9457316181844759,-0.8711556252765361,0.9974747474747475,0.9949622166246851,0.9962168978562421,397,0.9552238805970149,0.9552238805970149,0.9552238805970149,67,0.45454545454545453,0.8333333333333334,0.5882352941176471,12.0,0.9,0.47368421052631576,0.6206896551724138,19.0,0.9661274014155713,sqrt,1
SW91.9L,11,AFTER,stage_only,87,1028,3,257,0.9494163424124513,0.6312567473169493,0.9364499296882935,0.8808402881803267,0.9688715953307393,0.9289024137215575,-0.6760022112846844,0.9726775956284153,0.994413407821229,0.9834254143646409,179,0.8918918918918919,0.9295774647887324,0.9103448275862069,71,0.0,0.0,0.0,7.0,,,,,0.9854085603112841,0.33,1
SW91.9L,11,AFTER,hydromet,189,1028,3,257,0.914396887159533,0.5985354727701973,0.8993964675532219,0.7894227188081937,0.9688715953307393,0.9289024137215575,-1.9618063314711336,0.9226804123711341,1.0,0.9597855227882037,179,0.8888888888888888,0.7887323943661971,0.835820895522388,71,0.0,0.0,0.0,7.0,,,,,0.9834630350194552,sqrt,1
SW91.9L,11,AFTER,full_multivariate,193,1028,3,257,0.8949416342412452,0.5802338801364301,0.8787748467626294,0.7384076000904772,0.9688715953307393,0.9289024137215575,-2.679342908844151,0.9035532994923858,0.994413407821229,0.9468085106382979,179,0.8666666666666667,0.7323943661971831,0.7938931297709924,71,0.0,0.0,0.0,7.0,,,,,0.9873540856031129,0.33,1
SW91.9L,11,AFTER,forecast_safe,165,1028,3,257,0.9105058365758755,0.5962911816926416,0.896263624242266,0.7824758960771325,0.9688715953307393,0.9289024137215575,-2.059514609553248,0.9267015706806283,0.9888268156424581,0.9567567567567568,179,0.8636363636363636,0.8028169014084507,0.8321167883211679,71,0.0,0.0,0.0,7.0,,,,,0.9766536964980544,0.33,1
