Station_ID,Id,Stratum,Feature_Set,Mean_Residual,SD_Residual,Skew_Residual,Kurtosis_Residual,Shapiro_p,JarqueBera_p,BreuschPagan_p,Residual_ACF_lag1,Residual_ACF_lag2,Residual_ACF_lag3,Residual_ACF_lag4,Residual_ACF_lag5,Residual_ACF_lag6,Residual_ACF_lag7
SW91.9R,10,AFTER,full_multivariate,0.5881332684824908,0.46924419185959326,0.18490662897105,-1.0580518554780212,9.191697609421619e-07,0.0011992071616555896,7.877326893953716e-35,0.97120108328947,0.9168156684980967,0.85330628728692,0.7934051092117952,0.7410624647931197,0.693465709229887,0.6533293814752654
SW91.9R,10,AFTER,forecast_safe,0.43560252918288034,0.4008389183942071,-0.0427170076018505,-0.24180484900561128,6.968177951821397e-05,0.7031846159766142,2.650134928131025e-29,0.958275880306223,0.8746403632480417,0.7812809498501083,0.6996289344579847,0.634081434359331,0.5810563115241786,0.5412337506710941
SW91.9R,10,ALL,stage_only,-0.02690829875518694,0.10711572925292172,1.3211410918702255,5.525789233114043,1.7582981504104474e-21,0.0,0.43777993798908,0.8410287892355234,0.6207282675253498,0.4501071707357377,0.3304255666375082,0.24536579862979768,0.17546453881078655,0.11680560162623627
SW91.9R,10,ALL,hydromet,0.006531794605809187,0.20685955929582198,1.7620093205273732,2.9886312378663726,5.577306163931358e-32,5.999718487086174e-187,2.6168052071384056e-19,0.9597144970608846,0.9027346537561909,0.8507482092105597,0.8057821992266461,0.7685738436807371,0.737197187683101,0.7121719384694201
SW91.9R,10,ALL,full_multivariate,0.005550829875518575,0.20440379942265668,1.7350091948861979,2.900584604720871,1.0205179328917956e-31,3.934655248017576e-179,6.436234698950979e-20,0.9584728585699503,0.8971461668764126,0.8424500396738123,0.7972768189954105,0.759928301627597,0.7284972828901314,0.7022588553877536
SW91.9R,10,ALL,forecast_safe,0.0035289419087137274,0.19024077508571505,1.6206695991795652,2.8116360134401637,1.6487931963179668e-29,2.586652274694584e-161,1.9513374844927194e-17,0.9321818098981507,0.8361509613080038,0.7602347038276347,0.7045442454207599,0.6647120321547566,0.6307794604014982,0.6017328342343456
SW91.9L,11,BEFORE,stage_only,0.0547509433962272,0.08824284726759903,0.8753774095671062,1.4614286459576489,1.6526745221522934e-07,1.0566864793019293e-10,2.2678245986671857e-05,0.9101955172244045,0.7948210214889282,0.682862854766693,0.5780937622855685,0.45359964580922424,0.343458353223538,0.24801577525210552
SW91.9L,11,BEFORE,hydromet,-0.029728066037735576,0.08909305297110222,1.2864490031741722,2.5866071478855632,2.657041527544847e-10,2.9443096539008604e-26,2.44401255607485e-12,0.9142570383325657,0.791188181622267,0.67648261525214,0.5683836684166205,0.44344590594039696,0.31462089967220913,0.20144960409147153
SW91.9L,11,BEFORE,full_multivariate,-0.0309639150943391,0.08893198320742847,1.3903796374569364,3.0275000906676723,3.1231464964892216e-11,3.860516821454383e-33,1.2268116555104663e-13,0.921662747165498,0.8070438999593798,0.7034134301183507,0.5993622805551064,0.4765412745184382,0.3610386315143264,0.25224067908114634
SW91.9L,11,BEFORE,forecast_safe,-0.0176273584905645,0.1370578600328379,1.1314668249227093,2.5417490702402414,1.323071050226015e-10,6.101066225605293e-23,2.2667848223472096e-11,0.9196962786670994,0.8135347681116756,0.6891976606109689,0.5814739690770272,0.4803673737667383,0.3996111350956423,0.3174915982589976
SW91.9L,11,DURING,stage_only,0.01295909090909129,0.09188469493964502,1.0747037152652832,4.065256644721266,7.653220691191952e-14,1.9635174263553107e-95,0.6832782503839661,0.8067260920774356,0.5580336914202477,0.3868802994936471,0.29675469147372263,0.24231670404482314,0.1947622314287545,0.166983723163762
SW91.9L,11,DURING,hydromet,-0.018539191919191695,0.09808053572039649,0.33466522682131944,3.169715509487534,1.0066481140807474e-11,9.90826388798805e-48,0.6849621137175209,0.8574365166133634,0.6769237886356426,0.5501699537157061,0.4792277077852843,0.4313566684077771,0.3870539122886788,0.35642089621066836
SW91.9L,11,DURING,full_multivariate,-0.017418989898989753,0.09776692509587477,0.2129016280742087,2.732780218939669,5.07994224081683e-11,5.507333578172528e-35,0.6455695417804734,0.8588409450329815,0.6811765927667234,0.5534398079125261,0.4813728556414683,0.4308828912213701,0.388473219443737,0.3551732982261884
SW91.9L,11,DURING,forecast_safe,-0.004512727272726678,0.12509922782036442,0.658446170904933,4.366523277263068,1.8844527188503038e-14,6.927234039913191e-94,0.17098406186096649,0.8030947042359309,0.5361287118396805,0.3423922517885387,0.2466179171610621,0.19363305031484468,0.14064073143700284,0.10632408926132954
SW91.9L,11,AFTER,stage_only,0.0038898832684824067,0.13042955172681572,-0.0029357830622977798,2.2747520523904434,5.543790387755729e-07,9.284095775141987e-13,0.9268154060192533,0.8922018630649623,0.6869827927090026,0.4771411866096409,0.3072198733485946,0.1902919532917602,0.10144102304838291,0.021194951340561916
SW91.9L,11,AFTER,hydromet,0.3831861867704281,0.327890924237194,0.27490144410177747,-0.9627453698649848,2.7320750337148297e-07,0.0013862715481677828,5.8068371330905e-34,0.9710970531690154,0.9176490922847252,0.8592789515518582,0.8074645309296493,0.7635846642699893,0.7237927796006852,0.6862557906524821
SW91.9L,11,AFTER,full_multivariate,0.33610408560311206,0.28764053408460516,0.23891124894435478,-0.9411613593153736,1.1523898725798037e-06,0.002566859880649422,4.0645265639680935e-32,0.9629267307281134,0.8934966606475928,0.8174518000633593,0.7508867457077467,0.696717205752636,0.6496021287629278,0.6064236898174545
SW91.9L,11,AFTER,forecast_safe,0.2888040856031136,0.3124180870032311,-0.11643576623529658,0.21307233657692448,0.0019157135225862268,0.5865894445448159,7.614677598387276e-22,0.9417558355049124,0.8291647762802884,0.7084604582520514,0.6109913282177601,0.5445247965708283,0.4904294384036775,0.4481666882031192
SW91.9L,11,ALL,stage_only,-0.048208558091286734,0.07522745355469472,0.6204860085648597,3.455905356723485,5.71525193333347e-15,2.4981877097323312e-118,1.786129040740877e-06,0.8158667119423769,0.60619331965446,0.4322439822734389,0.3161000802463009,0.2357420239204535,0.17756018807007995,0.12162452857249884
SW91.9L,11,ALL,hydromet,-0.04028947095435718,0.1050334258007495,1.3455839888338443,2.938373035076693,1.7746055534118947e-23,3.3463469302739542e-139,4.068013357204069e-11,0.9015423052904143,0.7881199411431951,0.6891423118874606,0.61418584014311,0.5546651960816151,0.5093706664116808,0.47515307734502754
SW91.9L,11,ALL,full_multivariate,-0.0420180497925314,0.09832407317364082,1.2631547982688702,3.1614378300510833,1.1103339800868144e-21,1.4424420863883235e-143,7.883970113423545e-09,0.8938698936805459,0.7680772022142013,0.6602086302407335,0.5799722239893423,0.5159602830057054,0.4680621778030583,0.42757746484291
SW91.9L,11,ALL,forecast_safe,-0.03120637966804998,0.11885929536981968,1.2136415042084971,3.155445655486961,2.4556480483050723e-21,5.858036613582503e-139,0.0031714891492185303,0.843162523715098,0.6406903790407164,0.49214730180652294,0.39956388404292753,0.3311591111953173,0.28631368628120285,0.24378581567546173
SW93.4L,12,BEFORE,stage_only,0.013861792452831073,0.10705859660356291,-0.30077098527048496,-0.35676638164695396,0.024679731543893108,0.11528519998993127,0.05711696587114912,0.9024248063300685,0.768170171961308,0.6348244586935438,0.5095010541351191,0.39009652203555684,0.285380593094644,0.21137180418926158
SW93.4L,12,BEFORE,hydromet,-0.025211320754716358,0.11289074338635151,-0.4723974776665793,-0.34956420430027046,0.00039840824522009737,0.011308761544623824,0.027894346362291253,0.9068829675392491,0.7806710523186651,0.6509008142062089,0.5313200486907481,0.4211594303422849,0.32999649469441905,0.26785466633441307
