Station_ID,Stratum,Feature_Set,RMSE_CI_low,RMSE_CI_high,MAE_CI_low,MAE_CI_high,NSE_CI_low,NSE_CI_high,KGE_CI_low,KGE_CI_high,Persistence_Index_CI_low,Persistence_Index_CI_high
SW93.4L,AFTER,full_multivariate,0.2715848674837198,0.31529421217259396,0.22120459143968843,0.26142906128404625,0.9390286167333297,0.9544402378901194,0.846570929163179,0.8655496228898725,-10.768258837190503,-6.246740391219192
SW93.4L,AFTER,forecast_safe,0.3830969290135542,0.4475490515236512,0.29892318093385195,0.3596765807392993,0.8780868494115904,0.9093993042569894,0.7718244437133241,0.7949328008301897,-22.564653299187082,-13.069181097987874
SW93.4L,ALL,stage_only,0.08531085434135822,0.0999269224315212,0.06587380575726147,0.07307535010373459,0.9954906485813337,0.9967155927301996,0.9834344240406764,0.9883823088948839,0.032261612875788104,0.2203970928406027
SW93.4L,ALL,hydromet,0.091408808298871,0.10580304577429311,0.0703985490145231,0.07840233921161846,0.9949722173803784,0.9962798823593856,0.9791187078473582,0.9853667300084126,-0.08576309592604361,0.13203536904286645
SW93.4L,ALL,full_multivariate,0.09265744206043404,0.10789945224171807,0.07186504927385898,0.0801401945020747,0.994834759668868,0.9961483685759607,0.977005683236652,0.9833915435413362,-0.12277553667176012,0.10474143341475786
SW93.4L,ALL,forecast_safe,0.10007463510693815,0.11542131764650689,0.07586450207468894,0.08443880575726145,0.9940605319591506,0.9954966227390135,0.9771667241602929,0.9835343014304951,-0.2828543977727204,-0.06806254332316053
SW93.5L,BEFORE,stage_only,0.056083954567551476,0.06799952743406876,0.04534728571428518,0.054171874999999266,0.9973191398410436,0.9983875279190224,0.9928250795606458,0.9983959718929729,0.09015922008941439,0.4623390901437482
SW93.5L,BEFORE,hydromet,0.06867755038266712,0.08293209456261134,0.053199892857142314,0.06534911309523737,0.996091453058226,0.9976659991889556,0.9852618998772632,0.9922619229644635,-0.3728880029289261,0.2247529440152346
SW93.5L,BEFORE,full_multivariate,0.07547009627611997,0.09085315443228552,0.05795139880952346,0.07059710714285672,0.9951776014716953,0.9971535047695481,0.9813794505123734,0.9903583810503915,-0.7093191078943316,0.07908710911345353
SW93.5L,BEFORE,forecast_safe,0.10157941547326563,0.11942811862500503,0.07748370238095231,0.0944107261904759,0.9916817568047954,0.9948565603612338,0.9716854030748036,0.9893930424875941,-1.9290744775752255,-0.7402823578210928
SW93.5L,DURING,stage_only,0.0416930715054574,0.05309715441166815,0.03024519949494935,0.03560854797979803,0.9986308086295049,0.9991928891728422,0.99289313666017,0.9966914610690784,0.6981728791535918,0.7885770086153957
SW93.5L,DURING,hydromet,0.04333864907836118,0.054623493314640434,0.03139309595959588,0.036881224747474635,0.9985522231139741,0.9991264120795709,0.9909883532300069,0.9954677180163719,0.6762875779388258,0.7731005564671203
SW93.5L,DURING,full_multivariate,0.042487095817671454,0.05467545377961905,0.030486770202020064,0.03589361111111101,0.9985655475391736,0.999156897747602,0.9904650180607675,0.9949609288812487,0.6791754071402073,0.7839155156453071
SW93.5L,DURING,forecast_safe,0.08496367048605588,0.10296330652297676,0.06325100252525248,0.07342372222222207,0.994804992667426,0.9966627699029437,0.9853348616986907,0.991636318617293,-0.15442931970884685,0.12272210779975633
SW93.5L,AFTER,stage_only,0.06030615193139877,0.08123644845924448,0.04249705739299609,0.05416783073929925,0.995581430110156,0.9976756555978229,0.9875146707815294,0.9981962801873391,0.22393849755851392,0.58463654232635
SW93.5L,AFTER,hydromet,0.14621565942243228,0.16950908083715163,0.11614733949416381,0.13734160019455274,0.9812801660084713,0.9862192941502931,0.9125441981047541,0.9238411777976815,-2.7003217596686717,-1.2351677111564412
SW93.5L,AFTER,full_multivariate,0.1559800149022024,0.18009868068192808,0.12326158073930024,0.1478483463035027,0.9788648226851937,0.9843872426187706,0.9066399572703563,0.9181240302418472,-3.138814787478319,-1.5589906035371375
SW93.5L,AFTER,forecast_safe,0.2535687166332159,0.29685537431319087,0.19426550097276277,0.23718273346303512,0.9420293250883548,0.9571868503961158,0.8469540351304752,0.8673790587178442,-10.290466414147636,-5.76813160522616
SW93.5L,ALL,stage_only,0.04003817046481243,0.04713577279749753,0.028746708246618125,0.032397724765868954,0.9989540572328957,0.9992400362762678,0.9884184124533197,0.9920784759390615,0.7648034918604171,0.8129854791247693
SW93.5L,ALL,hydromet,0.04230855823378761,0.05003139313466967,0.03047755697190428,0.0345322389438086,0.9988170310495169,0.999163583702603,0.9858352296445555,0.9895863928478302,0.7416432774383548,0.7910996150568788
SW93.5L,ALL,full_multivariate,0.041676788064420114,0.049570244970773565,0.030578815426639157,0.03424981412591062,0.9988290918663322,0.9991889931213691,0.9855470947765518,0.9891362560015327,0.7487152228559836,0.7916170726999511
SW93.5L,ALL,forecast_safe,0.08002735973095657,0.0967172094061406,0.05998179786680553,0.06746686498439136,0.9956215172256947,0.9970570371186546,0.9831988959062027,0.9887040796789583,0.10170984297047503,0.2233118085311619
SW95,BEFORE,stage_only,0.10520300740950399,0.1364345796559275,0.0806760119047616,0.10353489880952362,0.9843015521290817,0.990618106240953,0.960746566947135,0.9803437463924302,-1.5790848167828304,-0.4075325641494833
SW95,BEFORE,hydromet,0.10046870513138328,0.12691403121279227,0.07445593452380944,0.09569877976190463,0.9857083840352531,0.9916873921639062,0.9772842751952419,0.9898459179605281,-1.2753467226609378,-0.25964181019914284
SW95,BEFORE,full_multivariate,0.10066609546531513,0.12699146256312763,0.07496861904761891,0.09614279761904748,0.9860175816049863,0.9916894930054719,0.9764050254863739,0.9893732554029231,-1.2615212988026965,-0.2637260385439811
SW95,BEFORE,forecast_safe,0.10672747356526473,0.13353143731281703,0.08082535119047618,0.102061011904762,0.9845005034514175,0.9905195847055068,0.9753908260943909,0.9899789732840808,-1.5383764607002324,-0.4256671496754806
SW95,DURING,stage_only,0.26064634340241116,0.28219388159966746,0.22797509090909115,0.2500311792929295,0.9286405416739026,0.9453600580373775,0.8448028710991086,0.8678373425980882,-8.082346375465418,-5.443033665840499
SW95,DURING,hydromet,0.2458299489657941,0.2644899566103388,0.2141712853535355,0.2346344621212124,0.9372622409313787,0.951060962066844,0.855634518111153,0.8753198597410374,-7.060737371220503,-4.793654821687734
SW95,DURING,full_multivariate,0.2606456466725893,0.28195108886336057,0.22676182575757572,0.2487598156565656,0.9289979486349947,0.9459256217490631,0.8474211796067572,0.8689680429353901,-8.07858200679775,-5.454271441594249
SW95,DURING,forecast_safe,0.22696800365107658,0.24862168445056929,0.19183500000000012,0.21327749747474756,0.944839023797198,0.9579104365244638,0.8713716218225135,0.8911374439190917,-5.896094098844825,-4.1544677384414515
SW95,AFTER,stage_only,0.12201382196256881,0.14815532549408303,0.09783405882352923,0.11856434803921542,0.964076840622332,0.9776861556509499,0.9657496368593251,0.9789553252685809,-1.9300085870085324,-0.6574583731349821
SW95,AFTER,hydromet,0.19368277961074268,0.22370681017529598,0.159562887254902,0.18769440196078432,0.9200545429764279,0.9433061440280839,0.8176997328121488,0.8416780729210251,-5.580527080616319,-2.750994522366546
SW95,AFTER,full_multivariate,0.2029818817591666,0.23599255337797384,0.1637993921568626,0.19477699999999984,0.9118670851450424,0.9368123456442297,0.8008161708628959,0.8269699611370422,-6.284585794111668,-3.119024119670388
SW95,AFTER,forecast_safe,0.2428110534072824,0.27836306859114096,0.19552916666666656,0.22893174999999993,0.8753135591660948,0.9100688562205893,0.7736276894829377,0.8016789988959813,-9.464902576510303,-4.7615522053328645
SW95,ALL,stage_only,0.09837575562536709,0.11462837992876988,0.07361202213541662,0.0826811874999999,0.9881943244079078,0.9914620889280015,0.9788720318915616,0.9851602489018155,-0.13998359245297157,0.1169624357907445
SW95,ALL,hydromet,0.10414538581428201,0.1198034401644186,0.07940878385416664,0.08836153124999988,0.9869117904367124,0.9904247566669977,0.9674411538725343,0.97493291785044,-0.26071838447386236,0.015996046895505
SW95,ALL,full_multivariate,0.1039466326921,0.12151069506623638,0.08038873828124987,0.08885096093749993,0.9866139229971849,0.9903299709857303,0.9638219512885144,0.971924745949806,-0.2765078796036273,-0.004723310673710303
SW95,ALL,forecast_safe,0.10299782938882648,0.12167821881243637,0.07743130989583337,0.08712049739583333,0.9864878377592736,0.9905552171936408,0.9695901888230394,0.9782573350720799,-0.2417562071738895,0.002539303869376953
