Section_ID,Date,Distance_m,Reduced_Level_m
RMG12,2011-04-08,7443.0,14.14
RMG12,2011-04-08,7446.0,13.47
RMG12,2011-04-08,7460.0,14.7
RMG12,2011-04-08,7510.0,14.65
RMG12,2011-04-08,7544.0,14.36
RMG12,2011-04-08,7544.0,14.27
RMG12,2011-04-08,7560.0,14.32
RMG12,2011-04-08,7610.0,14.3
RMG12,2011-04-08,7660.0,13.96
RMG12,2011-04-08,7710.0,13.95
RMG12,2011-04-08,7744.0,14.1
RMG12,2011-04-08,7744.0,14.26
RMG12,2012-01-28,0.0,14.04
RMG12,2012-01-28,0.0,13.92
RMG12,2012-01-28,10.0,14.64
RMG12,2012-01-28,18.0,17.48
RMG12,2012-01-28,22.0,17.49
RMG12,2012-01-28,31.0,14.47
RMG12,2012-01-28,41.0,13.38
RMG12,2012-01-28,41.0,13.2
RMG12,2012-01-28,50.0,13.45
RMG12,2012-01-28,100.0,13.44
RMG12,2012-01-28,150.0,13.6
RMG12,2012-01-28,200.0,13.58
RMG12,2012-01-28,250.0,13.61
RMG12,2012-01-28,300.0,13.45
RMG12,2012-01-28,350.0,13.62
RMG12,2012-01-28,400.0,13.73
RMG12,2012-01-28,450.0,13.76
RMG12,2012-01-28,500.0,14.0
RMG12,2012-01-28,550.0,13.97
RMG12,2012-01-28,600.0,13.6
RMG12,2012-01-28,650.0,13.05
RMG12,2012-01-28,700.0,12.82
RMG12,2012-01-28,750.0,12.68
RMG12,2012-01-28,800.0,12.64
RMG12,2012-01-28,842.0,12.6
RMG12,2012-01-28,860.0,11.86
RMG12,2012-01-28,890.0,10.9
RMG12,2012-01-28,920.0,9.24
RMG12,2012-01-28,950.0,8.56
RMG12,2012-01-28,980.0,8.15
RMG12,2012-01-28,1010.0,7.62
RMG12,2012-01-28,1030.0,6.74
RMG12,2012-01-28,1035.0,6.14
RMG12,2012-01-28,1040.0,5.94
RMG12,2012-01-28,1045.0,5.84
RMG12,2012-01-28,1050.0,5.74
RMG12,2012-01-28,1055.0,5.84
RMG12,2012-01-28,1060.0,5.94
RMG12,2012-01-28,1065.0,6.04
RMG12,2012-01-28,1070.0,6.14
RMG12,2012-01-28,1074.0,6.74
RMG12,2012-01-28,1100.0,7.78
RMG12,2012-01-28,1150.0,9.32
RMG12,2012-01-28,1200.0,10.24
RMG12,2012-01-28,1250.0,10.94
RMG12,2012-01-28,1300.0,11.68
RMG12,2012-01-28,1350.0,12.18
RMG12,2012-01-28,1400.0,12.64
RMG12,2012-01-28,1450.0,13.15
RMG12,2012-01-28,1500.0,13.48
RMG12,2012-01-28,1550.0,13.54
RMG12,2012-01-28,1600.0,13.52
RMG12,2012-01-28,1650.0,13.49
RMG12,2012-01-28,1700.0,13.45
RMG12,2012-01-28,1750.0,13.3
RMG12,2012-01-28,1800.0,13.16
RMG12,2012-01-28,1850.0,13.0
RMG12,2012-01-28,1900.0,12.94
RMG12,2012-01-28,1950.0,12.78
RMG12,2012-01-28,2000.0,12.72
RMG12,2012-01-28,2050.0,12.66
RMG12,2012-01-28,2100.0,12.63
RMG12,2012-01-28,2150.0,12.64
RMG12,2012-01-28,2200.0,12.62
RMG12,2012-01-28,2250.0,12.58
RMG12,2012-01-28,2300.0,12.54
RMG12,2012-01-28,2350.0,12.53
RMG12,2012-01-28,2400.0,12.52
RMG12,2012-01-28,2450.0,12.52
RMG12,2012-01-28,2500.0,12.5
RMG12,2012-01-28,2550.0,12.46
RMG12,2012-01-28,2600.0,12.47
RMG12,2012-01-28,2650.0,12.48
RMG12,2012-01-28,2700.0,12.52
RMG12,2012-01-28,2750.0,12.54
RMG12,2012-01-28,2800.0,12.48
RMG12,2012-01-28,2850.0,12.42
RMG12,2012-01-28,2900.0,12.38
RMG12,2012-01-28,2950.0,12.4
RMG12,2012-01-28,3000.0,12.35
RMG12,2012-01-28,3050.0,12.2
RMG12,2012-01-28,3100.0,11.16
RMG12,2012-01-28,3150.0,10.84
RMG12,2012-01-28,3200.0,10.38
RMG12,2012-01-28,3250.0,9.04
RMG12,2012-01-28,3258.0,7.85
RMG12,2012-01-28,3266.0,6.07
RMG12,2012-01-28,3276.0,5.07
RMG12,2012-01-28,3286.0,4.67
RMG12,2012-01-28,3296.0,4.37
RMG12,2012-01-28,3306.0,4.07
RMG12,2012-01-28,3316.0,3.77
RMG12,2012-01-28,3326.0,3.87
RMG12,2012-01-28,3336.0,4.27
RMG12,2012-01-28,3346.0,4.67
RMG12,2012-01-28,3356.0,4.97
RMG12,2012-01-28,3366.0,5.27
RMG12,2012-01-28,3376.0,5.37
RMG12,2012-01-28,3386.0,6.07
RMG12,2012-01-28,3400.0,6.38
RMG12,2012-01-28,3430.0,6.54
RMG12,2012-01-28,3460.0,6.6
RMG12,2012-01-28,3490.0,6.32
RMG12,2012-01-28,3515.0,6.06
RMG12,2012-01-28,3545.0,5.26
RMG12,2012-01-28,3575.0,4.66
RMG12,2012-01-28,3605.0,4.06
RMG12,2012-01-28,3635.0,2.86
RMG12,2012-01-28,3665.0,2.16
RMG12,2012-01-28,3695.0,1.86
RMG12,2012-01-28,3725.0,0.16
RMG12,2012-01-28,3755.0,-0.04
RMG12,2012-01-28,3785.0,0.06
RMG12,2012-01-28,3815.0,0.36
RMG12,2012-01-28,3845.0,1.16
RMG12,2012-01-28,3875.0,1.36
RMG12,2012-01-28,3905.0,1.26
RMG12,2012-01-28,3935.0,0.06
RMG12,2012-01-28,3965.0,-0.04
RMG12,2012-01-28,3995.0,-0.74
RMG12,2012-01-28,4025.0,0.36
RMG12,2012-01-28,4055.0,0.16
RMG12,2012-01-28,4085.0,-0.14
RMG12,2012-01-28,4115.0,-1.84
RMG12,2012-01-28,4145.0,-0.24
RMG12,2012-01-28,4175.0,0.06
RMG12,2012-01-28,4205.0,0.26
RMG12,2012-01-28,4235.0,0.86
RMG12,2012-01-28,4265.0,2.06
RMG12,2012-01-28,4295.0,2.86
RMG12,2012-01-28,4325.0,3.66
RMG12,2012-01-28,4355.0,4.06
RMG12,2012-01-28,4385.0,4.86
RMG12,2012-01-28,4415.0,5.36
RMG12,2012-01-28,4445.0,6.06
RMG12,2012-01-28,4470.0,6.42
RMG12,2012-01-28,4500.0,6.56
RMG12,2012-01-28,4550.0,6.72
RMG12,2012-01-28,4600.0,7.45
RMG12,2012-01-28,4650.0,7.5
RMG12,2012-01-28,4700.0,7.36
RMG12,2012-01-28,4750.0,7.44
RMG12,2012-01-28,4800.0,7.58
RMG12,2012-01-28,4850.0,7.84
RMG12,2012-01-28,4900.0,8.35
RMG12,2012-01-28,4950.0,8.62
RMG12,2012-01-28,5000.0,8.98
RMG12,2012-01-28,5050.0,9.42
RMG12,2012-01-28,5100.0,9.56
RMG12,2012-01-28,5150.0,9.84
RMG12,2012-01-28,5200.0,9.76
RMG12,2012-01-28,5250.0,9.62
RMG12,2012-01-28,5300.0,9.48
RMG12,2012-01-28,5350.0,9.22
RMG12,2012-01-28,5400.0,9.14
RMG12,2012-01-28,5450.0,8.92
RMG12,2012-01-28,5500.0,8.87
RMG12,2012-01-28,5550.0,8.75
RMG12,2012-01-28,5600.0,8.52
RMG12,2012-01-28,5650.0,8.27
RMG12,2012-01-28,5700.0,8.05
RMG12,2012-01-28,5750.0,7.82
RMG12,2012-01-28,5800.0,7.56
RMG12,2012-01-28,5850.0,7.32
RMG12,2012-01-28,5900.0,7.0
RMG12,2012-01-28,5950.0,7.04
RMG12,2012-01-28,6000.0,7.06
RMG12,2012-01-28,6050.0,6.94
RMG12,2012-01-28,6100.0,6.96
RMG12,2012-01-28,6116.0,6.84
RMG12,2012-01-28,6126.0,6.54
RMG12,2012-01-28,6136.0,6.24
RMG12,2012-01-28,6146.0,5.94
RMG12,2012-01-28,6156.0,5.64
RMG12,2012-01-28,6166.0,5.34
RMG12,2012-01-28,6176.0,5.04
RMG12,2012-01-28,6186.0,4.84
RMG12,2012-01-28,6196.0,4.54
RMG12,2012-01-28,6206.0,4.44
RMG12,2012-01-28,6216.0,4.24
RMG12,2012-01-28,6226.0,4.64
RMG12,2012-01-28,6236.0,4.94
RMG12,2012-01-28,6246.0,5.24
RMG12,2012-01-28,6256.0,5.74
RMG12,2012-01-28,6266.0,5.94
RMG12,2012-01-28,6276.0,6.84
RMG12,2012-01-28,6290.0,7.28
RMG12,2012-01-28,6320.0,7.39
RMG12,2012-01-28,6350.0,8.94
RMG12,2012-01-28,6365.0,10.32
RMG12,2012-01-28,6380.0,11.84
RMG12,2012-01-28,6395.0,13.23
RMG12,2012-01-28,6420.0,13.21
RMG12,2012-01-28,6470.0,13.24
RMG12,2012-01-28,6520.0,13.2
RMG12,2012-01-28,6570.0,13.16
RMG12,2012-01-28,6620.0,13.18
RMG12,2012-01-28,6670.0,13.16
RMG12,2012-01-28,6720.0,12.96
RMG12,2012-01-28,6770.0,12.95
RMG12,2012-01-28,6820.0,12.94
RMG12,2012-01-28,6870.0,12.92
RMG12,2012-01-28,6920.0,12.9
RMG12,2012-01-28,6970.0,12.84
RMG12,2012-01-28,7020.0,12.04
RMG12,2012-01-28,7070.0,11.92
RMG12,2012-01-28,7120.0,11.74
RMG12,2012-01-28,7170.0,11.76
RMG12,2012-01-28,7220.0,11.85
RMG12,2012-01-28,7270.0,11.95
RMG12,2012-01-28,7318.0,13.03
RMG12,2012-01-28,7318.0,12.72
RMG12,2012-01-28,7350.0,12.71
RMG12,2012-01-28,7400.0,12.7
RMG12,2012-01-28,7437.0,12.71
RMG12,2012-01-28,7440.0,14.12
RMG12,2012-01-28,7443.0,14.14
RMG12,2012-01-28,7446.0,13.47
RMG12,2012-01-28,7460.0,14.65
RMG12,2012-01-28,7510.0,14.64
RMG12,2012-01-28,7544.0,14.36
RMG12,2012-01-28,7544.0,14.27
RMG12,2012-01-28,7560.0,14.31
RMG12,2012-01-28,7610.0,14.3
RMG12,2012-01-28,7660.0,13.98
