target,h,model,macroF1,kappa,POD_W,FAR_W,CSI_W,n_event_W,POD_D,FAR_D,CSI_D,n_event_D
12,2,Logistic regression,0.5202141142940562,0.7242866026301675,0.9819819819819819,0.34860557768924305,0.6437007874015748,333,0.3902439024390244,0.5428571428571428,0.26666666666666666,41
12,2,Random forest,0.5523281760238832,0.8042215600731557,0.963963963963964,0.2302158273381295,0.7482517482517482,333,0.3170731707317073,0.35,0.2708333333333333,41
12,2,Gradient boosting,0.5668080551708257,0.8269731304528781,0.9309309309309309,0.17333333333333334,0.7788944723618091,333,0.3902439024390244,0.3333333333333333,0.32653061224489793,41
12,3,Persistence,0.6068998597128239,0.7820932725896044,0.8108108108108109,0.1891891891891892,0.6818181818181818,333,0.7317073170731707,0.2682926829268293,0.5769230769230769,41
12,3,Logistic regression,0.543679452642301,0.7164186204306237,0.972972972972973,0.3684210526315789,0.6206896551724138,333,0.4878048780487805,0.42857142857142855,0.35714285714285715,41
12,3,Random forest,0.5207077384981309,0.7657462040517455,0.933933933933934,0.26823529411764707,0.6957494407158836,333,0.21951219512195122,0.25,0.20454545454545456,41
12,3,Gradient boosting,0.510591777134882,0.7698674076677214,0.9219219219219219,0.24754901960784315,0.7073732718894009,333,0.1951219512195122,0.38461538461538464,0.17391304347826086,41
12,5,Persistence,0.5344559745832647,0.6716871973683374,0.7147147147147147,0.2852852852852853,0.5560747663551402,333,0.5853658536585366,0.4146341463414634,0.41379310344827586,41
12,5,Logistic regression,0.47769358225466535,0.6283835242816411,0.960960960960961,0.44922547332185886,0.5387205387205387,333,0.36585365853658536,0.6590909090909091,0.21428571428571427,41
12,5,Random forest,0.43599286017483724,0.6802171869275891,0.8768768768768769,0.3482142857142857,0.5971370143149284,333,0.04878048780487805,0.3333333333333333,0.047619047619047616,41
12,5,Gradient boosting,0.41319843231914244,0.6816949486781048,0.8468468468468469,0.3204819277108434,0.6051502145922747,333,0.0,1.0,0.0,41
12,7,Persistence,0.47906317049017993,0.5845245064041791,0.6396396396396397,0.36036036036036034,0.47019867549668876,333,0.4634146341463415,0.5365853658536586,0.30158730158730157,41
12,7,Logistic regression,0.3752470454839465,0.5361046948630737,0.93993993993994,0.5055292259083728,0.4793261868300153,333,0.04878048780487805,0.9696969696969697,0.01904761904761905,41
12,7,Random forest,0.4101060838987183,0.6183321119309172,0.8078078078078078,0.3982102908277405,0.5264187866927593,333,0.024390243902439025,0.0,0.024390243902439025,41
12,7,Gradient boosting,0.40784488054052453,0.6157208157335621,0.7687687687687688,0.3771289537712895,0.5245901639344263,333,0.024390243902439025,0.5,0.023809523809523808,41
15,1,Persistence,0.6975933387416541,0.9479228740601742,0.9725526075022873,0.027447392497712716,0.9465716829919858,1093,0.8686868686868687,0.13131313131313133,0.7678571428571429,99
15,1,Logistic regression,0.618794547958159,0.8764185000069871,0.9451052150045746,0.05834092980856882,0.8928262748487468,1093,0.7272727272727273,0.45454545454545453,0.4528301886792453,99
15,1,Random forest,0.6492025159330073,0.8929302228721571,0.9057639524245197,0.02845927379784102,0.8823529411764706,1093,0.5959595959595959,0.06349206349206349,0.5728155339805825,99
