season,reach,era,flow,n,mean_m,lo,hi
Dry (Jan-Apr),12-13,During,Low,318,0.05666352201257861,0.05107224842767296,0.06254748427672957
Dry (Jan-Apr),12-13,During,Mid,326,0.057800613496932524,0.051525766871165654,0.0630127300613497
Dry (Jan-Apr),12-13,During,High,318,0.07016981132075471,0.06446800314465409,0.07401611635220127
Dry (Jan-Apr),12-13,After,All,361,0.06426592797783934,0.0592236842105263,0.07030747922437672
Dry (Jan-Apr),12-13,After,Low,196,0.06535714285714285,0.059947704081632636,0.07653061224489795
Dry (Jan-Apr),12-13,After,Mid,88,0.059090909090909104,0.056818181818181816,0.06170454545454546
Dry (Jan-Apr),12-13,After,High,77,0.0674025974025974,0.06454545454545456,0.06935064935064933
Dry (Jan-Apr),13-15,Before,All,481,0.8667505197505198,0.8260223492723493,0.8867510395010393
Dry (Jan-Apr),13-15,Before,Low,91,0.837989010989011,0.775021978021978,0.8464560439560441
Dry (Jan-Apr),13-15,Before,Mid,194,0.8420515463917526,0.8029780927835053,0.8460257731958762
Dry (Jan-Apr),13-15,Before,High,196,0.9045510204081632,0.8544477040816326,0.9437346938775509
Dry (Jan-Apr),13-15,During,All,962,0.7218440748440749,0.6526305613305614,0.7846931133056133
Dry (Jan-Apr),13-15,During,Low,318,0.7082735849056604,0.6370341981132076,0.7965639150943398
Dry (Jan-Apr),13-15,During,Mid,326,0.6875368098159509,0.5942705521472392,0.7954056748466258
Dry (Jan-Apr),13-15,During,High,318,0.7705849056603773,0.6846327830188679,0.8515306603773585
Dry (Jan-Apr),13-15,After,All,361,0.2208310249307479,0.14265096952908587,0.32761149584487526
Dry (Jan-Apr),13-15,After,Low,196,0.256530612244898,0.17877040816326534,0.3876543367346939
Dry (Jan-Apr),13-15,After,Mid,88,0.14113636363636364,0.038289772727272735,0.281372159090909
Dry (Jan-Apr),13-15,After,High,77,0.22103896103896103,0.1944025974025974,0.41171103896103883
