target,era,goalundo_margin,p
13,Before,-0.7999999999999998,0.0055117528314948955
13,Before,-0.75,0.009598557923310373
13,Before,-0.6999999999999997,0.01666483218147963
13,Before,-0.6499999999999999,0.028781985463324763
13,Before,-0.5999999999999996,0.04926819913903335
13,Before,-0.5499999999999998,0.08308846763523366
13,Before,-0.5,0.13678458274123015
13,Before,-0.44999999999999973,0.21697051681261703
13,Before,-0.3999999999999999,0.3263894620461761
13,Before,-0.34999999999999964,0.45866637736411364
13,Before,-0.2999999999999998,0.5970372630444587
13,Before,-0.25,0.7215139084327541
13,Before,-0.19999999999999973,0.8191844231481619
13,Before,-0.1499999999999999,0.8879210942603616
13,Before,-0.09999999999999964,0.932675168418116
13,Before,-0.04999999999999982,0.9603564382438055
13,Before,0.0,0.9769377093760029
13,Before,0.050000000000000266,0.9866799085977093
13,Before,0.10000000000000009,0.9923389847614176
13,Before,0.15000000000000036,0.9956044980621419
13,Before,0.20000000000000018,0.9974816164199332
13,Before,0.25,0.9985582640036493
13,Before,0.30000000000000027,0.99917500893022
13,Before,0.3500000000000001,0.9995280477915139
13,Before,0.40000000000000036,0.9997300513641462
13,Before,0.4500000000000002,0.9998456073270707
13,Before,0.5,0.9999117020243437
13,Before,0.5500000000000003,0.9999495033557747
13,Before,0.6000000000000001,0.999971121990165
13,Before,0.6500000000000004,0.9999834854029198
13,Before,0.7000000000000002,0.9999905557732456
13,Before,0.75,0.9999945991326002
13,Before,0.8000000000000003,0.9999969114127673
13,Before,0.8500000000000001,0.9999982337352606
13,Before,0.9000000000000004,0.9999989899299815
13,Before,0.9500000000000002,0.9999994223736174
13,Before,1.0,0.9999996696742107
13,Before,1.0499999999999998,0.9999998110974172
13,Before,1.1000000000000005,0.9999998919727592
13,Before,1.1500000000000004,0.9999999382227378
13,Before,1.2000000000000002,0.9999999646715957
13,Before,1.25,0.9999999797968364
13,Before,1.2999999999999998,0.9999999884464689
13,Before,1.3500000000000005,0.999999993392912
13,Before,1.4000000000000004,0.9999999962216217
13,Before,1.4500000000000002,0.9999999978392684
13,Before,1.5,0.999999998764348
13,Before,1.5499999999999998,0.999999999293371
13,Before,1.6000000000000005,0.9999999995959019
13,Before,1.6500000000000004,0.9999999997689095
13,Before,1.7000000000000002,0.9999999998678468
13,Before,1.75,0.999999999924426
13,Before,1.8000000000000007,0.9999999999567817
13,Before,1.8500000000000005,0.9999999999752849
13,Before,1.9000000000000004,0.9999999999858662
13,Before,1.9500000000000002,0.9999999999919174
13,Before,2.0,0.9999999999953777
13,During,-3.0,6.407932050675178e-16
13,During,-2.95,1.1390199669536027e-15
13,During,-2.9,2.0246258463091654e-15
13,During,-2.85,3.598804179444271e-15
13,During,-2.8,6.396930843096588e-15
13,During,-2.75,1.1370644850612302e-14
13,During,-2.7,2.0211499465916998e-14
13,During,-2.65,3.592625713208929e-14
13,During,-2.6,6.385948522510638e-14
13,During,-2.55,1.135112360361365e-13
13,During,-2.5,2.017680014336427e-13
13,During,-2.45,3.586457854230687e-13
13,During,-2.4,6.374985056489135e-13
13,During,-2.35,1.1331635870894234e-12
13,During,-2.3,2.0142160392953745e-12
13,During,-2.25,3.5803005842896045e-12
13,During,-2.2,6.364040412632744e-12
13,During,-2.15,1.1312181594823135e-11
13,During,-2.1,2.010758011211692e-11
13,During,-2.05,3.5741538851132435e-11
13,During,-2.0,6.353114558333504e-11
13,During,-1.95,1.129276071703284e-10
13,During,-1.9,2.0073059195821254e-10
13,During,-1.8499999999999999,3.5680177376264047e-10
13,During,-1.7999999999999998,6.34220745840375e-10
13,During,-1.75,1.1273373170928882e-09
13,During,-1.7,2.003859751290437e-09
13,During,-1.65,3.5618921144737924e-09
13,During,-1.5999999999999999,6.331319051451285e-09
13,During,-1.5499999999999998,1.1254018807045356e-08
13,During,-1.5,2.0004194670230252e-08
13,During,-1.45,3.55577690550376e-08
13,During,-1.4,6.320449014440684e-08
13,During,-1.3499999999999999,1.1234696649161769e-07
13,During,-1.2999999999999998,1.996984766234549e-07
13,During,-1.25,3.549671175162783e-07
13,During,-1.2,6.309594416386344e-07
13,During,-1.15,1.1215397481007242e-06
13,During,-1.0999999999999999,1.9935527448743963e-06
13,During,-1.0499999999999998,3.5435657619557323e-06
13,During,-1.0,6.298726335992512e-06
13,During,-0.9499999999999997,1.1196029968828567e-05
13,During,-0.8999999999999999,1.9900945536820494e-05
13,During,-0.8500000000000001,3.537369530724171e-05
13,During,-0.7999999999999998,6.287556861494008e-05
13,During,-0.75,0.00011175684541002129
13,During,-0.6999999999999997,0.00019863228489888497
13,During,-0.6499999999999999,0.00035301748020861475
13,During,-0.5999999999999996,0.0006273219196990967
13,During,-0.5499999999999998,0.001114530930649498
13,During,-0.5,0.0019793809376172514
13,During,-0.44999999999999973,0.0035129741787611386
13,During,-0.3999999999999999,0.006227357314410616
13,During,-0.34999999999999964,0.011015887771442953
13,During,-0.2999999999999998,0.0194146264276204
13,During,-0.25,0.03399661787155326
13,During,-0.19999999999999973,0.05887332819850936
13,During,-0.1499999999999999,0.10006767249899874
13,During,-0.09999999999999964,0.16503169977148277
13,During,-0.04999999999999982,0.2599863536461565
13,During,0.0,0.38442152070892904
13,During,0.050000000000000266,0.5260748038253342
13,During,0.10000000000000009,0.6636517866465891
13,During,0.15000000000000036,0.778134375232154
13,During,0.20000000000000018,0.8617669713710174
13,During,0.25,0.9172275815528073
13,During,0.30000000000000027,0.9516843287737535
13,During,0.3500000000000001,0.9722315666807705
13,During,0.40000000000000036,0.9841858685112903
13,During,0.4500000000000002,0.991041268498971
13,During,0.5,0.9949401423932475
13,During,0.5500000000000003,0.9971470961759663
13,During,0.6000000000000001,0.9983929995808157
13,During,0.6500000000000004,0.9990952930297593
13,During,0.7000000000000002,0.9994908257925121
