station,name,year,q_star,wl,lo,hi,n
SW91.9L,Baruria,2019,70000,7.670157183826365,7.669475433867717,7.670744965437091,65
SW91.9L,Baruria,2020,30000,5.327660969840398,5.325822515083411,5.3289009190050525,30
SW91.9L,Baruria,2020,70000,7.523109285137064,7.522322082266223,7.523718877819454,93
SW91.9L,Baruria,2021,30000,5.188162653408842,5.184187745233395,5.191022320232987,34
SW91.9L,Baruria,2021,70000,7.278312294560607,7.27427930170711,7.281172133312005,79
SW91.9L,Baruria,2022,30000,4.8423268506735795,4.836580739201622,4.847131245932886,37
SW91.9L,Baruria,2022,70000,7.626778831783689,7.622279014771328,7.630325367332739,97
SW91.9L,Baruria,2023,30000,4.543235453997944,4.534376541671207,4.54939228956574,18
SW91.9L,Baruria,2023,70000,7.336102241880155,7.330957530142726,7.340154088556599,99
SW91.9L,Baruria,2024,30000,4.812613836731714,4.808024338140045,4.815838211508301,31
SW91.9L,Baruria,2024,70000,7.028450463444692,7.025252111597789,7.030937864751596,119
SW93.5L,Mawa (bridge),2011,30000,3.251796718712633,3.251340982150506,3.2521388703343304,43
SW93.5L,Mawa (bridge),2011,70000,5.02747515621958,5.027268520168622,5.027722142544204,91
SW93.5L,Mawa (bridge),2012,30000,3.4320890772728916,3.4271968156164405,3.4353697745024885,23
SW93.5L,Mawa (bridge),2012,70000,5.258914076839378,5.254594785366355,5.261566701040534,85
SW93.5L,Mawa (bridge),2013,30000,3.3148148294522386,3.314634713363056,3.3149486740962177,58
SW93.5L,Mawa (bridge),2013,70000,4.921165445857881,4.920884741706319,4.921350723090378,77
SW93.5L,Mawa (bridge),2014,30000,3.337798301078383,3.337420160104624,3.338043193165697,34
SW93.5L,Mawa (bridge),2014,70000,4.922249423813,4.921977321957035,4.922476437981348,44
SW93.5L,Mawa (bridge),2015,30000,3.3010855162271717,3.3005605895128793,3.3014909224871416,27
SW93.5L,Mawa (bridge),2015,70000,5.03223227719678,5.0318278249400725,5.032551585767846,27
SW93.5L,Mawa (bridge),2016,30000,3.528243722289062,3.5277835637124264,3.5286166247390396,30
SW93.5L,Mawa (bridge),2016,70000,4.949703014071499,4.948934048208145,4.950117155990345,69
SW93.5L,Mawa (bridge),2017,30000,3.168090991527192,3.1671096994025807,3.168772690712012,36
SW93.5L,Mawa (bridge),2017,70000,4.8078551285264055,4.807091463276631,4.8083939578144985,59
SW93.5L,Mawa (bridge),2018,30000,3.6405330859429412,3.6383499436309448,3.642462718585558,107
SW93.5L,Mawa (bridge),2019,30000,3.2589344115867007,3.2583668879775343,3.2594596265182587,47
SW93.5L,Mawa (bridge),2019,70000,5.081288201687961,5.0806118469122055,5.0818246363582675,50
SW93.5L,Mawa (bridge),2020,30000,3.315667579954809,3.3147812493409035,3.316182459435564,33
SW93.5L,Mawa (bridge),2020,70000,5.461283660768181,5.460312464513847,5.4621733595140345,92
SW93.5L,Mawa (bridge),2021,30000,3.099347704260861,3.095862878417887,3.1016782233360294,58
SW93.5L,Mawa (bridge),2021,70000,5.0200270483780365,5.016205952470634,5.023456946440174,59
SW93.5L,Mawa (bridge),2023,30000,2.6049470366620753,2.5974786094036526,2.6125871469133215,20
SW93.5L,Mawa (bridge),2023,70000,4.777433982828512,4.77213716312859,4.781684006207378,81
SW93.5L,Mawa (bridge),2024,30000,2.7943605594230903,2.7898600483976113,2.797083323688946,29
SW93.5L,Mawa (bridge),2024,70000,4.854820618741261,4.851340487723019,4.857338143979616,94
