target,window_days,start,monsoon,PI,full_PI
12,90,2024-01-14,False,0.8380899004201262,0.8500220875276648
12,90,2024-01-17,False,0.8462580098252303,0.8500220875276648
12,90,2024-01-20,False,0.8474186512783088,0.8500220875276648
12,90,2024-01-23,False,0.8538499263403377,0.8500220875276648
12,90,2024-01-26,False,0.8498018921275925,0.8500220875276648
12,90,2024-01-29,False,0.8413161495637492,0.8500220875276648
12,90,2024-02-01,False,0.8424362165263255,0.8500220875276648
12,90,2024-02-04,False,0.8419959878212215,0.8500220875276648
12,90,2024-02-07,False,0.8410043625199659,0.8500220875276648
12,90,2024-02-10,False,0.824816494612028,0.8500220875276648
12,90,2024-02-13,False,0.8210275259834646,0.8500220875276648
12,90,2024-02-16,False,0.8303138211726662,0.8500220875276648
12,90,2024-02-19,False,0.8223752521527419,0.8500220875276648
12,90,2024-02-22,False,0.8231737505158053,0.8500220875276648
12,90,2024-02-25,False,0.8291431811929354,0.8500220875276648
12,90,2024-02-28,False,0.9009612716985687,0.8500220875276648
12,90,2024-03-02,False,0.8284854625466177,0.8500220875276648
12,90,2024-03-05,False,0.8294037258949958,0.8500220875276648
12,90,2024-03-08,False,0.8399461665712988,0.8500220875276648
12,90,2024-03-11,False,0.8373224877651675,0.8500220875276648
12,90,2024-03-14,False,0.8373589659675751,0.8500220875276648
12,90,2024-03-17,False,0.8377803147190558,0.8500220875276648
12,90,2024-03-20,False,0.8315533087511605,0.8500220875276648
12,90,2024-03-23,False,0.8459496264987856,0.8500220875276648
12,90,2024-03-26,False,0.8382274470626825,0.8500220875276648
12,90,2024-03-29,False,0.8368671896604969,0.8500220875276648
12,90,2024-04-01,False,0.8373018188211199,0.8500220875276648
12,90,2024-04-04,False,0.8367309450582069,0.8500220875276648
12,90,2024-04-07,False,0.8515439018473558,0.8500220875276648
12,90,2024-04-10,False,0.8505143709221845,0.8500220875276648
12,90,2024-04-13,False,0.8530098310049078,0.8500220875276648
12,90,2024-04-16,False,0.8475233608221795,0.8500220875276648
12,90,2024-04-19,True,0.8449565664405766,0.8500220875276648
12,90,2024-04-22,True,0.8439695297046492,0.8500220875276648
12,90,2024-04-25,True,0.8454831735431074,0.8500220875276648
12,90,2024-04-28,True,0.84838519318627,0.8500220875276648
12,90,2024-05-01,True,0.8478859824118925,0.8500220875276648
12,90,2024-05-04,True,0.8481132093190442,0.8500220875276648
12,90,2024-05-07,True,0.8476790467136777,0.8500220875276648
12,90,2024-05-10,True,0.8501608936858928,0.8500220875276648
12,90,2024-05-13,True,0.8519777282170982,0.8500220875276648
12,90,2024-05-16,True,0.8481156893415402,0.8500220875276648
12,90,2024-05-19,True,0.8488675343387302,0.8500220875276648
12,90,2024-05-22,True,0.847772809064753,0.8500220875276648
12,90,2024-05-25,True,0.841855641415813,0.8500220875276648
12,90,2024-05-28,True,0.7472607034400893,0.8500220875276648
12,90,2024-05-31,True,0.8625489994891753,0.8500220875276648
12,90,2024-06-03,True,0.8617458821623438,0.8500220875276648
12,90,2024-06-06,True,0.8424169572060987,0.8500220875276648
12,90,2024-06-09,True,0.839081413087155,0.8500220875276648
12,90,2024-06-12,True,0.8384297568921696,0.8500220875276648
12,90,2024-06-15,True,0.8382647527534968,0.8500220875276648
12,90,2024-06-18,True,0.8398704573253617,0.8500220875276648
12,90,2024-06-21,True,0.8014919849293913,0.8500220875276648
12,90,2024-06-24,True,0.8143467382440043,0.8500220875276648
12,90,2024-06-27,True,0.8221166025688403,0.8500220875276648
12,90,2024-06-30,True,0.82500292348677,0.8500220875276648
12,90,2024-07-03,True,0.8290727332618566,0.8500220875276648
12,90,2024-07-06,True,0.7543345788378649,0.8500220875276648
12,90,2024-07-09,True,0.7537193219807771,0.8500220875276648
12,90,2024-07-12,True,0.7588691444650917,0.8500220875276648
12,90,2024-07-15,True,0.7729434470873339,0.8500220875276648
12,90,2024-07-18,True,0.7800601533062009,0.8500220875276648
12,90,2024-07-21,True,0.7762293388041295,0.8500220875276648
12,90,2024-07-24,True,0.7850205117479488,0.8500220875276648
12,90,2024-07-27,True,0.7974336900260586,0.8500220875276648
12,90,2024-07-30,True,0.8079605972169085,0.8500220875276648
12,90,2024-08-02,True,0.8144675784095614,0.8500220875276648
12,90,2024-08-05,True,0.8170345290272645,0.8500220875276648
12,90,2024-08-08,True,0.8284245311552263,0.8500220875276648
12,90,2024-08-11,True,0.8236476630611492,0.8500220875276648
12,90,2024-08-14,True,0.8286485888691901,0.8500220875276648
12,90,2024-08-17,True,0.8281219530144208,0.8500220875276648
12,90,2024-08-20,True,0.8284569680501682,0.8500220875276648
12,90,2024-08-23,True,0.8438922912534343,0.8500220875276648
12,90,2024-08-26,True,0.8474910151468467,0.8500220875276648
12,90,2024-08-29,True,0.8447386747362753,0.8500220875276648
12,90,2024-09-01,True,0.8457648610828948,0.8500220875276648
12,90,2024-09-04,True,0.8454393249699865,0.8500220875276648
12,90,2024-09-07,True,0.846855673930683,0.8500220875276648
12,90,2024-09-10,True,0.8465144690512293,0.8500220875276648
12,90,2024-09-13,True,0.8468314992149193,0.8500220875276648
12,90,2024-09-16,True,0.8446910235999302,0.8500220875276648
12,90,2024-09-19,False,0.8364292978985519,0.8500220875276648
12,90,2024-09-22,False,0.8353790918723011,0.8500220875276648
12,90,2024-09-25,False,0.8470017040326177,0.8500220875276648
12,90,2024-09-28,False,0.841583473146468,0.8500220875276648
12,90,2024-10-01,False,0.8435424209075606,0.8500220875276648
12,90,2024-10-04,False,0.8397050962645699,0.8500220875276648
12,90,2024-10-07,False,0.8348190160142739,0.8500220875276648
12,90,2024-10-10,False,0.8317774354973099,0.8500220875276648
12,90,2024-10-13,False,0.8354530760606302,0.8500220875276648
12,90,2024-10-16,False,0.8247626182652454,0.8500220875276648
12,90,2024-10-19,False,0.8286533088689501,0.8500220875276648
12,90,2024-10-22,False,0.8017202204151271,0.8500220875276648
12,90,2024-10-25,False,0.7914946836481783,0.8500220875276648
12,90,2024-10-28,False,0.7770711333233051,0.8500220875276648
12,90,2024-10-31,False,0.7690638428591163,0.8500220875276648
12,90,2024-11-03,False,0.7825600970933537,0.8500220875276648
12,90,2024-11-06,False,0.7750038795030029,0.8500220875276648
12,90,2024-11-09,False,0.7936810627692561,0.8500220875276648
12,90,2024-11-12,False,0.7929631271542714,0.8500220875276648
12,90,2024-11-15,False,0.8023506850218405,0.8500220875276648
12,90,2024-11-18,False,0.8038627333172672,0.8500220875276648
12,90,2024-11-21,False,0.7992194758896236,0.8500220875276648
12,90,2024-11-24,False,0.7985398761106357,0.8500220875276648
12,90,2024-11-27,False,0.7934032925344547,0.8500220875276648
12,90,2024-11-30,False,0.801525345614702,0.8500220875276648
12,90,2024-12-03,False,0.8112414601776368,0.8500220875276648
12,90,2024-12-06,False,0.8184075615749016,0.8500220875276648
12,90,2024-12-09,False,0.8336349630872923,0.8500220875276648
12,90,2024-12-12,False,0.8359401563525641,0.8500220875276648
12,90,2024-12-15,False,0.8393318231732803,0.8500220875276648
12,90,2024-12-18,False,0.8365947354004754,0.8500220875276648
12,90,2024-12-21,False,0.8392754640662702,0.8500220875276648
12,90,2024-12-24,False,0.836864076515846,0.8500220875276648
12,90,2024-12-27,False,0.8335188284821557,0.8500220875276648
12,90,2024-12-30,False,0.8572994073037961,0.8500220875276648
12,90,2025-01-02,False,0.8591653589946939,0.8500220875276648
12,90,2025-01-05,False,0.8682251589419478,0.8500220875276648
