transect,year,x,z,z0,dz
RMG12,2011,2260.0,12.536,12.6,-0.06400000000000006
RMG12,2011,2270.0,12.532,12.59,-0.05799999999999983
RMG12,2011,2280.0,12.527999999999999,12.58,-0.05200000000000138
RMG12,2011,2290.0,12.524,12.57,-0.04600000000000115
RMG12,2011,2300.0,12.52,12.559999999999999,-0.03999999999999915
RMG12,2011,2310.0,12.522,12.556,-0.03399999999999892
RMG12,2011,2320.0,12.524,12.552,-0.02800000000000047
RMG12,2011,2330.0,12.526,12.548,-0.02200000000000024
RMG12,2011,2340.0,12.527999999999999,12.544,-0.01600000000000179
RMG12,2011,2350.0,12.53,12.54,-0.009999999999999787
RMG12,2011,2360.0,12.526,12.5405,-0.014499999999999957
RMG12,2011,2370.0,12.522,12.541,-0.019000000000000128
RMG12,2011,2380.0,12.517999999999999,12.5415,-0.0235000000000003
RMG12,2011,2390.0,12.514,12.542,-0.02800000000000047
RMG12,2011,2400.0,12.51,12.5425,-0.03250000000000064
RMG12,2011,2410.0,12.512,12.543,-0.030999999999998806
RMG12,2011,2420.0,12.514,12.5435,-0.029500000000000526
RMG12,2011,2430.0,12.516,12.544,-0.02800000000000047
RMG12,2011,2440.0,12.517999999999999,12.5445,-0.026500000000000412
RMG12,2011,2450.0,12.52,12.545,-0.025000000000000355
RMG12,2011,2460.0,12.512,12.539,-0.026999999999999247
RMG12,2011,2470.0,12.504,12.533,-0.028999999999999915
RMG12,2011,2480.0,12.496,12.527,-0.030999999999998806
RMG12,2011,2490.0,12.488,12.520999999999999,-0.032999999999999474
RMG12,2011,2500.0,12.48,12.515,-0.03500000000000014
RMG12,2011,2510.0,12.484,12.511,-0.026999999999999247
RMG12,2011,2520.0,12.488,12.507,-0.019000000000000128
RMG12,2011,2530.0,12.492,12.503,-0.010999999999999233
RMG12,2011,2540.0,12.496,12.498999999999999,-0.0029999999999983373
RMG12,2011,2550.0,12.5,12.495000000000001,0.004999999999999005
RMG12,2011,2560.0,12.496,12.4925,0.0035000000000007248
RMG12,2011,2570.0,12.492,12.49,0.002000000000000668
RMG12,2011,2580.0,12.488,12.4875,0.0004999999999988347
RMG12,2011,2590.0,12.484,12.485,-0.0009999999999994458
RMG12,2011,2600.0,12.48,12.4825,-0.0024999999999995026
RMG12,2011,2610.0,12.488,12.4885,-0.0005000000000006111
RMG12,2011,2620.0,12.496,12.4945,0.0015000000000000568
RMG12,2011,2630.0,12.504,12.500499999999999,0.0035000000000007248
RMG12,2011,2640.0,12.512,12.506499999999999,0.005500000000001393
RMG12,2011,2650.0,12.52,12.5125,0.007500000000000284
RMG12,2011,2660.0,12.528,12.517,0.011000000000001009
RMG12,2011,2670.0,12.536,12.5215,0.014499999999999957
RMG12,2011,2680.0,12.544,12.526,0.018000000000000682
RMG12,2011,2690.0,12.552,12.5305,0.02149999999999963
RMG12,2011,2700.0,12.56,12.535,0.025000000000000355
RMG12,2011,2710.0,12.544,12.532,0.012000000000000455
RMG12,2011,2720.0,12.528,12.529,-0.0009999999999994458
RMG12,2011,2730.0,12.512,12.526,-0.013999999999999346
RMG12,2011,2740.0,12.496,12.523,-0.026999999999999247
RMG12,2011,2750.0,12.48,12.52,-0.03999999999999915
RMG12,2011,2760.0,12.468,12.511,-0.04299999999999926
RMG12,2011,2770.0,12.456,12.501999999999999,-0.045999999999999375
RMG12,2011,2780.0,12.444,12.493,-0.04899999999999949
RMG12,2011,2790.0,12.432,12.484,-0.0519999999999996
RMG12,2011,2800.0,12.42,12.475,-0.054999999999999716
RMG12,2011,2810.0,12.412,12.47,-0.05799999999999983
RMG12,2011,2820.0,12.404,12.465,-0.06099999999999994
RMG12,2011,2830.0,12.396,12.46,-0.06400000000000006
RMG12,2011,2840.0,12.388,12.455,-0.06700000000000017
RMG12,2011,2850.0,12.38,12.45,-0.06999999999999851
RMG12,2011,2860.0,12.376000000000001,12.442,-0.06599999999999895
RMG12,2011,2870.0,12.372,12.434,-0.06199999999999939
RMG12,2011,2880.0,12.368,12.426,-0.05799999999999983
RMG12,2011,2890.0,12.363999999999999,12.418,-0.05400000000000027
RMG12,2011,2900.0,12.36,12.41,-0.05000000000000071
RMG12,2011,2910.0,12.372,12.41,-0.038000000000000256
RMG12,2011,2920.0,12.384,12.41,-0.0259999999999998
RMG12,2011,2930.0,12.395999999999999,12.41,-0.014000000000001123
RMG12,2011,2940.0,12.408,12.41,-0.002000000000000668
RMG12,2011,2950.0,12.42,12.41,0.009999999999999787
RMG12,2011,2960.0,12.416,12.3795,0.0365000000000002
RMG12,2011,2970.0,12.412,12.349,0.06300000000000061
RMG12,2011,2980.0,12.408,12.3185,0.08949999999999925
RMG12,2011,2990.0,12.404,12.288,0.11599999999999966
RMG12,2011,3000.0,12.4,12.2575,0.14250000000000007
RMG12,2011,3010.0,12.38,12.184000000000001,0.19599999999999973
RMG12,2011,3020.0,12.360000000000001,12.1105,0.24950000000000117
RMG12,2011,3030.0,12.34,12.036999999999999,0.3030000000000008
RMG12,2011,3040.0,12.32,11.9635,0.3565000000000005
RMG12,2011,3050.0,12.3,11.89,0.41000000000000014
RMG12,2011,3060.0,12.276,11.707,0.5689999999999991
RMG12,2011,3070.0,12.252,11.524000000000001,0.7279999999999998
RMG12,2011,3080.0,12.228,11.341000000000001,0.8869999999999987
RMG12,2011,3090.0,12.204,11.158000000000001,1.0459999999999994
RMG12,2011,3100.0,12.18,10.975,1.205
RMG12,2011,3110.0,11.996,10.801,1.1950000000000003
RMG12,2011,3120.0,11.812,10.626999999999999,1.1850000000000005
RMG12,2011,3130.0,11.628,10.453,1.1750000000000007
RMG12,2011,3140.0,11.443999999999999,10.279,1.1649999999999991
RMG12,2011,3150.0,11.26,10.105,1.1549999999999994
RMG12,2011,3160.0,11.192,9.964,1.2279999999999998
RMG12,2011,3170.0,11.124,9.823,1.3010000000000002
RMG12,2011,3180.0,11.056,9.682,1.3739999999999988
RMG12,2011,3190.0,10.988,9.541,1.4469999999999992
RMG12,2011,3200.0,10.92,9.4,1.5199999999999996
RMG12,2011,3210.0,10.642,9.0865,1.5555000000000003
RMG12,2011,3220.0,10.363999999999999,8.773,1.5909999999999993
RMG12,2011,3230.0,10.086,8.4595,1.6265
RMG12,2011,3240.0,9.808,8.146,1.661999999999999
