station,era,q,wl
SW91.9L,Before,7228.935539835139,2.315146610276325
SW91.9L,Before,7588.2603515094925,2.403479380947526
SW91.9L,Before,7965.445928378565,2.4927487088300344
SW91.9L,Before,8361.380065893656,2.582954593923856
SW91.9L,Before,8776.994688677163,2.674097036228985
SW91.9L,Before,9213.268044027567,2.766176035745427
SW91.9L,Before,9671.227004455783,2.8591915924731772
SW91.9L,Before,10151.949484672445,2.953143706412242
SW91.9L,Before,10656.566978715098,3.048032377562615
SW91.9L,Before,11186.26722318693,3.143857605924296
SW91.9L,Before,11742.296992875858,3.2406193914972894
SW91.9L,Before,12325.965035333693,3.3383177342815955
SW91.9L,Before,12938.645151323046,3.4369526342772057
SW91.9L,Before,13581.779428382388,3.5365240914841327
SW91.9L,Before,14256.881635119897,3.6370321059023634
SW91.9L,Before,14965.54078422608,3.738476677531911
SW91.9L,Before,15709.424872590671,3.8408578063727643
SW91.9L,Before,16490.284807328004,3.9441754924249306
SW91.9L,Before,17309.958526950733,4.048429735688407
SW91.9L,Before,18170.375327392838,4.153620536163191
SW91.9L,Before,19073.560403063973,4.2597478938492905
SW91.9L,Before,20021.639613623192,4.366811808746698
SW91.9L,Before,21016.84448769248,4.474812280855414
SW91.9L,Before,22061.517475287208,4.583749310175442
SW91.9L,Before,23158.117461325885,4.693622896706778
SW91.9L,Before,24309.225553197633,4.80443304044943
SW91.9L,Before,25517.55115600844,4.916179741403386
SW91.9L,Before,26785.938349807173,5.028862999568654
SW91.9L,Before,28117.372583800196,5.142482814945236
SW91.9L,Before,29514.987703312192,5.257039187533124
SW91.9L,Before,30982.073326032434,5.372532117332327
SW91.9L,Before,32522.0825849075,5.488961604342831
SW91.9L,Before,34138.640255906765,5.606327648564655
SW91.9L,Before,35835.55128978928,5.724630249997784
SW91.9L,Before,37616.80976795574,5.843869408642228
SW91.9L,Before,39486.60830346307,5.964045124497979
SW91.9L,Before,41449.34790933094,6.0851573975650375
SW91.9L,Before,43509.64835736686,6.207206227843415
SW91.9L,Before,45672.35905189116,6.330191615333101
SW91.9L,Before,47942.570443957025,6.4541135600340915
SW91.9L,Before,50325.626012931076,6.578972061946388
SW91.9L,Before,52827.13484363547,6.704767121070004
SW91.9L,Before,55452.984828655244,6.831498737404932
SW91.9L,Before,58209.35652688606,6.959166910951165
SW91.9L,Before,61102.7377109415,7.0877716417087075
SW91.9L,Before,64139.93863765944,7.217312929677567
SW91.9L,Before,67328.10807765229,7.34779077485773
SW91.9L,Before,70674.75014162963,7.479205177249209
SW91.9L,Before,74187.7419430963,7.611556136851993
SW91.9L,Before,77875.35213900305,7.744843653666088
SW91.9L,Before,81746.26039198467,7.879067727691492
SW91.9L,Before,85809.5778,8.014228358928214
SW91.9L,During,4108.61,1.4260449576015235
SW91.9L,During,4334.356981905549,1.5109197046390617
SW91.9L,During,4572.507599064746,1.59694602279537
SW91.9L,During,4823.743367421699,1.684123912070446
SW91.9L,During,5088.783248715461,1.7724533724642901
SW91.9L,During,5368.385707933795,1.861934403976902
SW91.9L,During,5663.350883813465,1.9525670066082836
SW91.9L,During,5974.5228785983245,2.0443511803584316
SW91.9L,During,6302.792173607885,2.137286925227347
SW91.9L,During,6649.098177528903,2.2313742412150344
SW91.9L,During,7014.431914722467,2.326613128321484
SW91.9L,During,7399.838861239797,2.4230035865467032
SW91.9L,During,7806.421936662464,2.5205456158906907
SW91.9L,During,8235.344660328821,2.619239216353446
SW91.9L,During,8687.834480978925,2.719084387934969
SW91.9L,During,9165.186289346224,2.82008113063526
SW91.9L,During,9668.766123748146,2.922229444454321
SW91.9L,During,10200.015079279767,3.025529329392148
SW91.9L,During,10760.453431797663,3.1299807854487454
SW91.9L,During,11351.684988495306,3.235583812624106
SW91.9L,During,11975.401677520404,3.342338410918239
SW91.9L,During,12633.388389767842,3.4502445803311375
SW91.9L,During,13327.528086704437,3.5593023208628036
SW91.9L,During,14059.807188842396,3.6695116325132404
SW91.9L,During,14832.321260281446,3.780872515282443
SW91.9L,During,15647.281005587523,3.893384969170413
SW91.9L,During,16507.01859616913,4.0070489941771505
SW91.9L,During,17413.9943442552,4.121864590302657
SW91.9L,During,18370.803743574194,4.237831757546931
SW91.9L,During,19380.184896881798,4.354950495909975
SW91.9L,During,20445.02635159337,4.47322080539178
SW91.9L,During,21568.375365944146,4.592642685992363
SW91.9L,During,22753.446629332007,4.713216137711711
SW91.9L,During,24003.631461798614,4.834941160549822
SW91.9L,During,25322.507518974704,4.957817754506706
SW91.9L,During,26713.849030261797,5.081845919582353
SW91.9L,During,28181.637599549707,5.207025655776773
SW91.9L,During,29730.073599377985,5.3333569630899555
SW91.9L,During,31363.5881911473,5.460839841521912
SW91.9L,During,33086.85600578052,5.589474291072635
SW91.9L,During,34904.80852111993,5.719260311742122
SW91.9L,During,36822.64817434421,5.850197903530381
SW91.9L,During,38845.863249790236,5.982287066437403
SW91.9L,During,40980.243584783355,6.115527800463203
SW91.9L,During,43231.89713842289,6.249920105607757
SW91.9L,During,45607.267470737315,6.385463981871088
SW91.9L,During,48113.15218222815,6.522159429253192
SW91.9L,During,50756.72236657279,6.660006447754049
SW91.9L,During,53545.54313215336,6.799005037373684
SW91.9L,During,56487.595251136874,6.939155198112081
SW91.9L,During,59591.29799806265,7.080456929969253
SW91.9L,During,62865.53324329088,7.222910232945191
SW91.9L,During,66319.67087026357,7.3665151070398975
SW91.9L,During,69963.59558931239,7.511271552253367
SW91.9L,During,73807.73522474823,7.657179568585609
SW91.9L,During,77863.0905561792,7.804239156036615
SW91.9L,During,82141.26679945768,7.952450314606392
SW91.9L,During,86654.50681734123,8.10181304429494
SW91.9L,During,91415.72615491015,8.252327345102248
SW91.9L,During,96438.55,8.40399321702833
SW93.5L,After,6521.195,0.9937491680883568
SW93.5L,After,6789.226478619008,1.0063216709113973
SW93.5L,After,7068.274476991022,1.0206705679919494
SW93.5L,After,7358.7917915864155,1.0367958593300202
SW93.5L,After,7661.249829530127,1.0546975449256024
SW93.5L,After,7976.139373529132,1.0743756247787104
SW93.5L,After,8303.971378239657,1.09583009888933
SW93.5L,After,8645.277799366386,1.1190609672574752
SW93.5L,After,9000.61245683887,1.144068229883132
SW93.5L,After,9370.551933465958,1.1708518867663074
SW93.5L,After,9755.696510526313,1.1994119379069943
SW93.5L,After,10156.671141813158,1.229748383305207
SW93.5L,After,10574.126467713897,1.2618612229609312
SW93.5L,After,11008.739870969848,1.2957504568741811
SW93.5L,After,11461.216575829643,1.3314160850449426
SW93.5L,After,11932.290792379254,1.3688581074732156
SW93.5L,After,12422.72690790616,1.4080765241590143
SW93.5L,After,12933.320727230097,1.4490713351023317
SW93.5L,After,13464.900764013762,1.4918425403031677
SW93.5L,After,14018.32958514804,1.5363901397615223
SW93.5L,After,14594.505210393987,1.5827141334773884
SW93.5L,After,15194.36256955206,1.630814521450766
SW93.5L,After,15818.875019523311,1.6806913036816695
SW93.5L,After,16469.055923724496,1.7323444801700916
SW93.5L,After,17145.960296419213,1.7857740509160323
SW93.5L,After,17850.686514634155,1.8409800159194916
SW93.5L,After,18584.378100437323,1.8979623751804553
