target,same_day,n_points,n_features,history_years,n_train,model,PI,rmse_cm
11,True,all,87,2.0,534,Gradient boosting,0.1636531631384076,9.07584741766362
11,True,all,87,3.0,838,Ridge,0.8861980614475578,3.3478717031554655
11,True,all,87,3.0,838,Gradient boosting,0.16790931058407021,9.052724585751418
11,True,all,87,5.0,1568,Ridge,0.9136764397269761,2.9158061558379895
11,True,all,87,5.0,1568,Gradient boosting,0.520900835134134,6.869208260636276
11,True,all,87,8.0,2460,Ridge,0.9186393102982745,2.830748509696468
11,True,all,87,8.0,2460,Gradient boosting,0.5684964766774716,6.519077584761343
11,True,all,87,11.0,3313,Ridge,0.9141631772508537,2.907574112823907
11,True,all,87,11.0,3313,Gradient boosting,0.5982801209628665,6.290072312169509
11,True,all+B,103,0.5,176,Ridge,0.3183397798071108,8.193660247772772
11,True,all+B,103,0.5,176,Gradient boosting,-0.21382971376947513,10.933843637986513
11,True,all+B,103,1.0,357,Ridge,0.8127810997737029,4.294067050049053
11,True,all+B,103,1.0,357,Gradient boosting,0.08178132853314268,9.509704814050842
11,True,all+B,103,2.0,534,Ridge,0.8797367325213266,3.4416006589297297
11,True,all+B,103,2.0,534,Gradient boosting,0.13998688213904975,9.203362206676603
11,True,all+B,103,3.0,838,Ridge,0.9017349838185782,3.1109529407453747
11,True,all+B,103,3.0,838,Gradient boosting,0.31629800387667617,8.205922302207636
11,True,all+B,103,5.0,1568,Ridge,0.920549203029763,2.797326152298199
11,True,all+B,103,5.0,1568,Gradient boosting,0.5629125737038962,6.561122301970232
11,True,all+B,103,8.0,2460,Ridge,0.9249786889670871,2.718230625889979
11,True,all+B,103,8.0,2460,Gradient boosting,0.5932421507709424,6.3293913290274935
11,True,all+B,103,11.0,3313,Ridge,0.921505652948883,2.7804376916912803
11,True,all+B,103,11.0,3313,Gradient boosting,0.6338633319586509,6.005035637399449
11,False,0,7,0.5,176,Ridge,0.45835328963516264,7.3038531291710544
11,False,0,7,0.5,176,Gradient boosting,-0.24130242069275187,11.05688462162013
11,False,0,7,1.0,357,Ridge,0.5418097719087062,6.717642502073399
11,False,0,7,1.0,357,Gradient boosting,0.07023404999225968,9.569313776682305
11,False,0,7,2.0,534,Ridge,0.5686750443280599,6.5177285612147955
11,False,0,7,2.0,534,Gradient boosting,0.0991879710899668,9.419135944565841
11,False,0,7,3.0,838,Ridge,0.5936009221693129,6.326599366277505
11,False,0,7,3.0,838,Gradient boosting,0.1974545426561366,8.890553444770017
11,False,0,7,5.0,1568,Ridge,0.6212965355431146,6.107220714916585
11,False,0,7,5.0,1568,Gradient boosting,0.39901311660177363,7.693544558028304
11,False,0,7,8.0,2460,Ridge,0.6292252485239127,6.042950723183475
11,False,0,7,8.0,2460,Gradient boosting,0.41587919035582277,7.584820648283924
11,False,0,7,11.0,3313,Ridge,0.6366340959642397,5.982270730142449
11,False,0,7,11.0,3313,Gradient boosting,0.4384129333189817,7.437081235577335
