target,span,model,seed,window,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,train_rows,pi_lo,pi_hi
Baruria,S36,ridge,20260913,common,0.028139983127952812,0.023867557317819473,0.9984545487789451,0.9676792387574911,0.028139983127952812,31,31,576.0,0.9670580612479809,0.9680545565858918
Baruria,S36,tgcn,mean,own,0.07270449065950543,0.048711238219751124,0.9988176540207265,0.45361073087627957,0.08308089018872479,366,124,576.0,0.36872454048527703,0.5772424954153047
Baruria,S36,tgcn,mean,common,0.11681867726469701,0.08088326072854611,0.9733662569564413,0.44299578131128825,0.11681867726469701,31,31,576.0,0.42447536545649156,0.4437597273355083
Baruria,S36,custom,mean,own,0.03205619218735523,0.023655959071397892,0.9997701492249043,0.8937806706212518,0.03572135882589984,366,124,576.0,0.8505976914506664,0.9130139756973249
Baruria,S36,custom,mean,common,0.04231270872912793,0.0322191556739246,0.9965057876574568,0.9269238644899584,0.04231270872912793,31,31,576.0,0.9188499885048669,0.9269238644899584
Baruria,S36,lstm,mean,own,0.0510296390768254,0.03789210909508764,0.9994175386672786,0.7308312224531603,0.0635960501147205,366,124,576.0,0.6785917525624083,0.7949059003837967
Baruria,S36,lstm,mean,common,0.07608939484826598,0.056582165002570434,0.9887005866317558,0.7636899588418236,0.07608939484826598,31,31,576.0,0.760000136832907,0.7636899588418236
Sureswar,S6,persistence,none,own,0.08855470334132999,0.06225806451612901,0.8782929586563308,0.0,0.08855470334132999,31,31,,,
Sureswar,S6,ridge,20260913,own,0.05086654682721767,0.03869674523414983,0.9598433984453063,0.6700552317157901,0.05086654682721767,31,31,128.0,0.6694498107290643,0.6713577903134811
Sureswar,S6,ridge,20260913,common,0.05086654682721767,0.03869674523414983,0.9598433984453063,0.6700552317157901,0.05086654682721767,31,31,128.0,0.6694498107290643,0.6713577903134811
Sureswar,S6,tgcn,mean,own,0.09124014868873795,0.06429929615002304,0.8707994362376287,-0.06157016336912169,0.09124014868873795,31,31,128.0,-0.06617758901270143,-0.05740530706677305
Sureswar,S6,tgcn,mean,common,0.09124014868873795,0.06429929615002304,0.8707994362376287,-0.06157016336912169,0.09124014868873795,31,31,128.0,-0.06617758901270143,-0.05740530706677305
Sureswar,S6,custom,mean,own,0.06615317950561954,0.046743862696743535,0.9320805930957152,0.44194348860639876,0.06615317950561954,31,31,128.0,0.44194348860639876,0.4524494762088975
Sureswar,S6,custom,mean,common,0.06615317950561954,0.046743862696743535,0.9320805930957152,0.44194348860639876,0.06615317950561954,31,31,128.0,0.44194348860639876,0.4524494762088975
Sureswar,S6,lstm,mean,own,0.06792553332925651,0.04879763080478592,0.9283924930067919,0.4116403931716077,0.06792553332925651,31,31,128.0,0.40727686647647265,0.42540587523396023
Sureswar,S6,lstm,mean,common,0.06792553332925651,0.04879763080478592,0.9283924930067919,0.4116403931716077,0.06792553332925651,31,31,128.0,0.40727686647647265,0.42540587523396023
Sureswar,S12,persistence,none,own,0.07807465769321723,0.0576086956521739,0.9535418972601086,0.0,0.0765207271707933,92,83,,,
Sureswar,S12,persistence,none,common,0.08855470334132999,0.06225806451612901,0.8782929586563308,0.0,0.08855470334132999,31,31,,,
Sureswar,S12,ridge,20260913,own,0.06303031667908332,0.04977936264165114,0.9697210876559619,0.34825336037584054,0.061648881637022084,92,83,233.0,0.037567545669216024,0.4393556502576389
Sureswar,S12,ridge,20260913,common,0.06030972098312307,0.04558246745993768,0.9435495928665256,0.5361779687497865,0.06030972098312307,31,31,233.0,0.5361779687497864,0.5460279585643035
Sureswar,S12,tgcn,mean,own,0.08787252705801869,0.07157768250790492,0.9411498566987183,-0.26673582928624273,0.08602528873483212,92,83,233.0,-0.7369806840981168,-0.1530233037870392
Sureswar,S12,tgcn,mean,common,0.09176009802799122,0.07225504922947569,0.8693226924726679,-0.07370375686262243,0.09176009802799122,31,31,233.0,-0.08229797410803807,-0.06625120101931814
Sureswar,S12,custom,mean,own,0.08533157103893296,0.0685520218102451,0.944504115777156,-0.19453617237779341,0.08347205941207463,92,83,233.0,-0.5602757966294446,-0.10097267563171203
Sureswar,S12,custom,mean,common,0.09015196086639742,0.06938893123786502,0.8738629137244469,-0.036399249237968334,0.09015196086639742,31,31,233.0,-0.04327054986745349,-0.02994218292798756
Sureswar,S12,lstm,mean,own,0.06807598005332978,0.050143487189811334,0.9646793166590666,0.23973039668265939,0.06221456389470789,92,83,233.0,0.17812120356854116,0.39185742073825597
Sureswar,S12,lstm,mean,common,0.06940461972962339,0.05221116407825183,0.9252400162877762,0.3857382211673278,0.06940461972962339,31,31,233.0,0.38105091892094645,0.40366657067759093
Sureswar,S36,persistence,none,own,0.10155619726134783,0.07497267759562841,0.9932893045546738,0.0,0.08682574317228361,366,124,,,
Sureswar,S36,persistence,none,common,0.08855470334132999,0.06225806451612901,0.8782929586563308,0.0,0.08855470334132999,31,31,,,
Sureswar,S36,ridge,20260913,own,0.08383310844838453,0.06266998786270331,0.9954271620870415,0.31857466186409655,0.07046805194776888,366,124,612.0,0.048147416546372813,0.5809590823952264
Sureswar,S36,ridge,20260913,common,0.09326289428396,0.08232460198004032,0.8650073204188877,-0.10916080196155575,0.09326289428396,31,31,612.0,-0.11123983849264318,-0.06041675302034211
Sureswar,S36,tgcn,mean,own,0.08426671673782589,0.06338362248224455,0.9953797357583966,0.3115073870888755,0.072512718185293,366,124,612.0,0.08455014060049437,0.5247127371584801
Sureswar,S36,tgcn,mean,common,0.09447835361143253,0.08227983372647919,0.8614657769963996,-0.13825972165748124,0.09447835361143253,31,31,612.0,-0.13825972165748146,-0.07423793542075696
Sureswar,S36,custom,mean,own,0.0815887463701321,0.061239446300668306,0.9956687306838605,0.3545722121608017,0.05900482587317522,366,124,612.0,0.036149715654222106,0.6040673465563214
Sureswar,S36,custom,mean,common,0.0750003151186963,0.0661970638034057,0.9126991210520753,0.2826965639448119,0.0750003151186963,31,31,612.0,0.2770777344390116,0.328708561047083
Sureswar,S36,lstm,mean,own,0.09484060000448984,0.07187898925085638,0.9941474753143432,0.12788104700342828,0.0704235138639739,366,124,612.0,-0.137459642344022,0.33938472249479384
Sureswar,S36,lstm,mean,common,0.07440305233786146,0.062257716397989764,0.9140840206153081,0.2940755240110767,0.07440305233786146,31,31,612.0,0.29347873929895585,0.3383693720765988
