target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Baruria,lightgbm,val,,0.05707178914254287,0.04169742342050627,0.9991680144279234,0.7779158462509195,0.05707437181987251,328,86,D,C + own Rainfall_Level,88.0,,1103.0
Baruria,lightgbm,test,,0.06015001846093404,0.041269423653822045,0.9991926844456609,0.6326470119643173,0.048129058234833544,1096,369,D,C + own Rainfall_Level,88.0,,1103.0
Baruria,ridge,val,,0.04536105529372434,0.033097506610304125,0.9994744196506583,0.85970541914643,0.05344638630768447,328,86,E,C without same-day upstream WL (1-day-ahead),77.0,0.01,
Baruria,ridge,test,,0.0503983349175745,0.03408487301946633,0.9994332335075438,0.7421041086062631,0.04612859169400455,1096,369,E,C without same-day upstream WL (1-day-ahead),77.0,0.01,
Baruria,lightgbm,val,,0.07046918814781822,0.050781659813700926,0.9987315558307783,0.6614107751935863,0.07183551165528934,328,86,E,C without same-day upstream WL (1-day-ahead),77.0,,751.0
Baruria,lightgbm,test,,0.07244967585348697,0.05007334412147817,0.998828763269634,0.4670518729824942,0.06109643865208756,1096,369,E,C without same-day upstream WL (1-day-ahead),77.0,,751.0
Baruria,ridge,val,,0.030506647751394146,0.022579517878350292,0.9997622821492824,0.9365453326601533,0.034556419755995195,328,86,F,C + boundary WL and WLD-1..7 (full release layout),103.0,0.1,
Baruria,ridge,test,,0.027813662862472933,0.020257783717123425,0.9998273811725105,0.9214532140144216,0.028029168174823565,1096,369,F,C + boundary WL and WLD-1..7 (full release layout),103.0,0.1,
Baruria,lightgbm,val,,0.062465022070005,0.04436898289390542,0.9990033409477801,0.7339591098483271,0.059585081972190854,328,86,F,C + boundary WL and WLD-1..7 (full release layout),103.0,,1804.0
Baruria,lightgbm,test,,0.05518129127789904,0.0386033185381789,0.9993205531209048,0.6908311255671844,0.04679973176808288,1096,369,F,C + boundary WL and WLD-1..7 (full release layout),103.0,,1804.0
Baruria,ridge,val,,0.045694669619908264,0.032223551098696,0.9994666603109073,0.8576341976492325,0.054289172107650316,328,86,G,F without same-day upstream and boundary WL (1-day-ahead),91.0,0.01,
Baruria,ridge,test,,0.049052284856412484,0.03269655418625187,0.9994631038702513,0.7556960268287669,0.045094780810420315,1096,369,G,F without same-day upstream and boundary WL (1-day-ahead),91.0,0.01,
Baruria,lightgbm,val,,0.07761214539265245,0.054995016881282305,0.998461377081129,0.5892912325107735,0.07504851990914511,328,86,G,F without same-day upstream and boundary WL (1-day-ahead),91.0,,737.0
Baruria,lightgbm,test,,0.07078645188189174,0.04942348342282007,0.9988819220609257,0.4912407303833467,0.06060742489532333,1096,369,G,F without same-day upstream and boundary WL (1-day-ahead),91.0,,737.0
Bhagyakul,persistence,val,none,0.09668278531160424,0.07652439024390244,0.9950410083096115,0.0,0.10209434761020558,328,86,,,,,
Bhagyakul,persistence,test,none,0.09753251376272383,0.07355839416058395,0.9957624746051927,0.0,0.08696477809277896,1096,369,,,,,
Bhagyakul,ridge,val,20260913,0.0356219720584369,0.027336048282771617,0.999326820331188,0.8642506963428195,0.03852984089789858,328,86,,,,,
Bhagyakul,ridge,test,20260913,0.03777139892178275,0.028114095372740042,0.9993644647872386,0.8500220875277424,0.03443627481070696,1096,369,,,,,
Bhagyakul,tgcn,val,20260913,0.0616800259100458,0.04696188286010233,0.9979817072102765,0.5930033934851382,0.0729855278276345,328,86,,,,,
Bhagyakul,tgcn,test,20260913,0.05599865985360704,0.04031435696467232,0.998603088972084,0.6703474557042741,0.05844078576876414,1096,369,,,,,
Bhagyakul,tgcn,val,20260914,0.06236871114351724,0.04697150435017293,0.9979363853015414,0.5838640539651841,0.07478604230048219,328,86,,,,,
Bhagyakul,tgcn,test,20260914,0.05902409139013074,0.04233093009728867,0.9984480701047188,0.6337650513710378,0.05879151833305462,1096,369,,,,,
